case,optimization,expected_return,cvar,l2_to_benchmark,utility_floor,US Equities,Europe Equities,Emerging Market Equities,Japan Equities,US Expected Return,Europe Expected Return,EM Expected Return,Japan Expected Return
Case 1 - EU 7.00%,Stage 1 + Stage 2 (Lexicographic),0.07089374877828845,0.20852156550608406,0.05958325181587256,0.07089375000000088,0.4099305419996014,0.40993054196788214,0.1797916258960173,0.0003472901520600091,0.07,0.07,0.075,0.055
Case 2 - EU 6.95%,Stage 1 + Stage 2 (Lexicographic),0.07079424946868959,0.20909373171405068,0.06986939320194714,0.07079425000000514,0.40294373959927887,0.39836943037761247,0.19868683169153897,-1.6612623387942004e-09,0.07,0.0695,0.075,0.055
Case 3 - EU 6.90%,Stage 1 + Stage 2 (Lexicographic),0.07069474963755898,0.20972949595978765,0.08411369618138165,0.07069475000000319,0.398725831419423,0.38527020469289436,0.21600396501494556,-1.1223865635424213e-09,0.07,0.069,0.075,0.055
Case 4 - EU 6.85%,Stage 1 + Stage 2 (Lexicographic),0.07059524970785763,0.21036758504895664,0.09897165376668199,0.07059525000000111,0.3971816704373913,0.37212953202617705,0.23068879843637774,-8.960221377544963e-10,0.07,0.0685,0.075,0.055
Case 5 - EU 6.80%,Stage 1 + Stage 2 (Lexicographic),0.07049574974353134,0.21098622287156,0.11307493515724519,0.07049575000000452,0.39759936959828973,0.35946477490224255,0.2429358562819487,-7.790469825743976e-10,0.07,0.068,0.075,0.055
Case 6 - EU 6.75%,Stage 1 + Stage 2 (Lexicographic),0.07039624981557978,0.21152158066194396,0.12646932339492026,0.07039624999999845,0.4084999231622121,0.3415000771149534,0.2500000002039055,-4.7867904290973e-10,0.07,0.0675,0.075,0.055
Case 7 - EU 6.70%,Stage 1 + Stage 2 (Lexicographic),0.07029674986947587,0.21195555823207696,0.1424960163109244,0.07029675000000137,0.43224995472264616,0.31775004546166574,0.25000000015016693,-3.32790634221195e-10,0.07,0.067,0.075,0.055
Case 8 - EU 6.65%,Stage 1 + Stage 2 (Lexicographic),0.0701972498822131,0.21235886789468225,0.1573706136706287,0.0701972500000027,0.4492142507215323,0.30078574943408287,0.25000000014073964,-2.948390714680546e-10,0.07,0.0665,0.075,0.055
Case 9 - EU 6.60%,Stage 1 + Stage 2 (Lexicographic),0.07009774988287838,0.21272002402965887,0.16990069822800624,0.07009775000000182,0.46193746957682114,0.2880625305673701,0.2500000001451155,-2.878034163150197e-10,0.07,0.066,0.075,0.055
Case 10 - EU 6.55%,Stage 1 + Stage 2 (Lexicographic),0.06999824988084516,0.2130372862131473,0.18028693315304867,0.0699982499999999,0.4718333058392344,0.27816669429656227,0.2500000001529474,-2.8722059223910596e-10,0.07,0.0655,0.075,0.055
Case 11 - EU 6.50%,Stage 1 + Stage 2 (Lexicographic),0.06989874987680433,0.21331950877306358,0.1889315069402041,0.06989875000001433,0.47974997443046574,0.27025002569876866,0.2500000001636661,-2.9133047197570837e-10,0.07,0.065,0.075,0.055
Case 12 - EU 6.45%,Stage 1 + Stage 2 (Lexicographic),0.06979924987189665,0.21357583046572465,0.19619633452212795,0.06979924999980926,0.48622724856915467,0.26377275155341584,0.2500000001756325,-2.9658084216827426e-10,0.07,0.0645,0.075,0.055
Case 13 - EU 6.40%,Stage 1 + Stage 2 (Lexicographic),0.06969974986660094,0.21381119726440806,0.20236790884742428,0.06969975000000107,0.4916249769472447,0.2583750231684295,0.250000000189182,-3.03169973539583e-10,0.07,0.064,0.075,0.055
Case 14 - EU 6.35%,Stage 1 + Stage 2 (Lexicographic),0.06960024985960021,0.21402809550866306,0.20766593383203108,0.0696002500000014,0.4961922853028406,0.2538077148061497,0.2500000002054128,-3.1263803998858896e-10,0.07,0.0635,0.075,0.055
Case 15 - EU 6.30%,Stage 1 + Stage 2 (Lexicographic),0.06950074985295274,0.2142291637910035,0.21225829439530375,0.06950074999999802,0.5001071210871063,0.24989287901357773,0.250000000221796,-3.206325499907392e-10,0.07,0.063,0.075,0.055
Case 16 - EU 6.25%,Stage 1 + Stage 2 (Lexicographic),0.06940124984543411,0.21441869210075543,0.2162741063472786,0.06940125000000862,0.5034999786448442,0.24650002144691627,0.25000000024016883,-3.2999829509957275e-10,0.07,0.0625,0.075,0.055
Case 17 - EU 6.20%,Stage 1 + Stage 2 (Lexicographic),0.06930174983943517,0.21459809878275538,0.21981367922922218,0.069301750000001,0.5064687292032334,0.2435312708773749,0.2500000002567523,-3.353605174132001e-10,0.07,0.062000000000000006,0.075,0.055
Case 18 - EU 6.15%,Stage 1 + Stage 2 (Lexicographic),0.06920224983119833,0.21476887833282374,0.2229558223483623,0.0692022500000036,0.5090882147152388,0.2409117853539782,0.2500000002776849,-3.448075957405429e-10,0.07,0.061500000000000006,0.075,0.055
Case 19 - EU 6.10%,Stage 1 + Stage 2 (Lexicographic),0.06910274982549393,0.21493292244664178,0.22576315686892606,0.06910275000000045,0.5114166465712283,0.23858335348424317,0.2500000002950702,-3.483847096869635e-10,0.07,0.061000000000000006,0.075,0.055
Case 20 - EU 6.05%,Stage 1 + Stage 2 (Lexicographic),0.06900324981827734,0.2150912526761836,0.2282859809523601,0.06900325000000294,0.5134999801700526,0.2365000198709318,0.25000000031566255,-3.544077457117907e-10,0.07,0.060500000000000005,0.075,0.055
Case 21 - EU 6.00%,Stage 1 + Stage 2 (Lexicographic),0.06890374981006422,0.21524372807455164,0.23056511073005098,0.06890375000000677,0.5153749803034614,0.23462501972179683,0.25000000033875874,-3.6168729909962495e-10,0.07,0.060000000000000005,0.075,0.055
