ticker,asset_label,weekly_mean,annualized_mean_arithmetic,annualized_vol,skew,kurtosis
SPY,US Equity,0.0028789851350224205,0.14970722702116587,0.16638451634211615,-0.8787116105472155,9.397953514234285
EFA,Dev ex-US Equity,0.0014227377955686215,0.07398236536956831,0.1688542362612353,-0.6046294371581984,7.752495611969831
EEM,EM Equity,0.0013568111224991017,0.07055417836995329,0.1996379626863836,-0.3902398470153083,2.0103495046578264
AGG,US Aggregate Bonds,0.0005071905304036895,0.026373907580991854,0.04290647229309865,-0.4020694567741658,27.969192022861392
LQD,IG Credit,0.0009047060463310205,0.04704471440921307,0.10248025296924453,0.7033981506548161,57.58956210920798
HYG,High Yield,0.0008231736826839925,0.04280503149956761,0.10255773912820818,0.22760714541526833,39.46989093470708
GLD,Gold,0.0012781517951115124,0.06646389334579865,0.1407643529238642,-0.10321109457183704,2.41350385278394
VNQ,US REITs,0.002207408494763115,0.11478524172768198,0.22491433037126854,-0.353492501113776,20.753017691929678
DBC,Commodities,0.0006256441664998232,0.03253349665799081,0.16779491789752157,-0.543807719355597,1.314423446370049
