scenario,horizon_weeks,asset,prior_return,posterior_return,change
single_short_view,4,SPY,0.01068444971566183,0.013620913572981468,0.0029364638573196374
single_short_view,4,EFA,0.0056201559231414,0.00806050252768848,0.0024403466045470803
single_short_view,4,EEM,0.005202014238045391,0.007567050435689032,0.002365036197643641
single_short_view,4,AGG,0.0004726617207646137,0.00039708132492274727,-7.558039584186645e-05
single_short_view,4,GLD,0.00979108113246034,0.00982505276625028,3.397163378993963e-05
single_short_view,12,SPY,0.03205334914698549,0.03498981300430513,0.002936463857319639
single_short_view,12,EFA,0.016860467769424202,0.01930081437397128,0.0024403466045470786
single_short_view,12,EEM,0.015606042714136174,0.017971078911779813,0.0023650361976436385
single_short_view,12,AGG,0.0014179851622938412,0.0013424047664519748,-7.558039584186645e-05
single_short_view,12,GLD,0.029373243397381017,0.02940721503117096,3.3971633789941363e-05
single_long_view,4,SPY,0.01068444971566183,0.010982919277850622,0.00029846956218879117
single_long_view,4,EFA,0.0056201559231414,0.006109781314505271,0.0004896253913638706
single_long_view,4,EEM,0.005202014238045391,0.005852575137644616,0.0006505608995992247
single_long_view,4,AGG,0.0004726617207646137,0.00074152243097638,0.0002688607102117663
single_long_view,4,GLD,0.00979108113246034,0.01181686176215783,0.00202578062969749
single_long_view,12,SPY,0.03205334914698549,0.03294875783355186,0.0008954086865663735
single_long_view,12,EFA,0.016860467769424202,0.018329343943515812,0.00146887617409161
single_long_view,12,EEM,0.015606042714136174,0.017557725412933847,0.0019516826987976722
single_long_view,12,AGG,0.0014179851622938412,0.00222456729292914,0.0008065821306352987
single_long_view,12,GLD,0.029373243397381017,0.03545058528647349,0.006077341889092473
mixed_horizon_views,4,SPY,0.01068444971566183,0.013900334356337111,0.0032158846406752806
mixed_horizon_views,4,EFA,0.0056201559231414,0.008533529911632344,0.002913373988490944
mixed_horizon_views,4,EEM,0.005202014238045391,0.008200966237402855,0.0029989519993574637
mixed_horizon_views,4,AGG,0.0004726617207646137,0.0006655537201161545,0.00019289199935154075
mixed_horizon_views,4,GLD,0.00979108113246034,0.011844187892580585,0.0020531067601202452
mixed_horizon_views,12,SPY,0.03205334914698549,0.03586427637885206,0.0038109272318665732
mixed_horizon_views,12,EFA,0.016860467769424202,0.020749981366435487,0.003889513597011285
mixed_horizon_views,12,EEM,0.015606042714136174,0.01990198272321369,0.004295940009077515
mixed_horizon_views,12,AGG,0.0014179851622938412,0.0021468901892409535,0.0007289050269471123
mixed_horizon_views,12,GLD,0.029373243397381017,0.03546503921591131,0.006091795818530296
conflicting_horizon_views,4,SPY,0.01068444971566183,0.010943803646320714,0.00025935393065888365
conflicting_horizon_views,4,EFA,0.0056201559231414,0.0058356918584745385,0.0002155359353331384
conflicting_horizon_views,4,EEM,0.005202014238045391,0.005410898618651834,0.00020888438060644252
conflicting_horizon_views,4,AGG,0.0004726617207646137,0.00046598632011444704,-6.675400650166675e-06
conflicting_horizon_views,4,GLD,0.00979108113246034,0.009794081570123608,3.0004376632680047e-06
conflicting_horizon_views,12,SPY,0.03205334914698549,0.003524175867245162,-0.028529173279740326
conflicting_horizon_views,12,EFA,0.016860467769424202,-0.006848685323063968,-0.02370915309248817
conflicting_horizon_views,12,EEM,0.015606042714136174,-0.007371433179955571,-0.022977475894091746
conflicting_horizon_views,12,AGG,0.0014179851622938412,0.0021522854344218846,0.0007343002721280434
conflicting_horizon_views,12,GLD,0.029373243397381017,0.029043192467391465,-0.0003300509299895525
