country_name,count,sum(Market Cap (in US $)),forward_pe,dividend_yield,forward_earnings_yield,total_equity_risk_premium,country_risk_premium,valuation_spread,allocation_signal
Peru,46,59524.959,9.164265129682999,0.07584756169256665,0.10911949685534589,0.06299351767277012,0.020693517672770126,0.04612597918257577,overweight
Luxembourg,50,278604.43,11.45214521452145,0.014113738248885706,0.0873198847262248,0.0423,0.0,0.045019884726224806,overweight
Philippines,219,185384.29,9.347826086956522,0.0377414504756579,0.10697674418604651,0.06694963134550559,0.024649631345505598,0.04002711284054092,overweight
Hong Kong,1305,1237851.291,11.375,0.04436827476718282,0.08791208791208792,0.050060069127288796,0.007760069127288798,0.03785201878479912,overweight
Poland,559,162444.92,11.05228758169935,0.03508266722037229,0.09047900650502659,0.05325539170911359,0.010955391709113598,0.037223614795913,overweight
Greece,140,88936.08,9.352226720647774,0.036199580417756214,0.10692640692640691,0.07075358680005893,0.028453586800058932,0.03617282012634798,overweight
Chile,98,154965.31,11.35198135198135,0.046458571276371464,0.08809034907597538,0.05325539170911359,0.010955391709113598,0.034834957366861784,overweight
Qatar,35,84265.8,12.01587301587302,0.04218645049355729,0.08322324966974899,0.0486906451636496,0.0063906451636495986,0.03453260450609939,overweight
Brazil,245,434178.044,9.173469387755102,0.04471846208787101,0.10901001112347053,0.07470970047279439,0.032409700472794394,0.03430031065067614,overweight
South Korea,2486,2433460.445,12.27467811158798,0.011801840481528764,0.08146853146853149,0.0486906451636496,0.0063906451636495986,0.03277788630488189,overweight
Belgium,109,340033.6220000001,12.21,0.026973606157099362,0.0819000819000819,0.050060069127288796,0.007760069127288798,0.0318400127727931,overweight
France,534,2979722.587,12.55035971223022,0.025580902058651947,0.07967899111493262,0.050060069127288796,0.007760069127288798,0.029618921987643827,overweight
Netherlands,99,1393561.404,13.94889267461669,0.016579784309238805,0.0716902784562775,0.0423,0.0,0.0293902784562775,overweight
Hungary,42,25555.42,10.40909090909091,0.052924663339518584,0.09606986899563318,0.06694963134550559,0.024649631345505598,0.029120237650127584,overweight
Indonesia,746,728428.6400000005,10.44444444444444,0.0,0.09574468085106387,0.06694963134550559,0.024649631345505598,0.02879504950555828,overweight
Thailand,824,419293.8890000001,10.93103448275862,0.035648966493761605,0.09148264984227131,0.06299351767277012,0.020693517672770126,0.02848913216950119,neutral
Bermuda,33,108360.629,12.28571428571428,0.01929409250660588,0.08139534883720935,0.05325539170911359,0.010955391709113598,0.028139957128095756,neutral
Austria,50,122989.1,13.59201141226819,0.04080464041122343,0.07357262804366077,0.04585507581377215,0.0035550758137721547,0.02771755222988862,neutral
Colombia,20,86124.05,10.18633540372671,0.04589054973610739,0.09817073170731705,0.07075358680005893,0.028453586800058932,0.02741714490725812,neutral
United Arab Emirates,107,838893.712,13.40740740740741,0.027225020611431165,0.07458563535911601,0.0486906451636496,0.0063906451636495986,0.025894990195466414,neutral
Oman,56,23133.63,10.41758241758242,0.06502782745293324,0.09599156118143458,0.07075358680005893,0.028453586800058932,0.02523797438137565,neutral
Norway,203,285888.13,14.97225305216426,0.06136789204924318,0.06679021497405487,0.0423,0.0,0.024490214974054868,neutral
South Africa,158,319628.5600000001,9.780219780219781,0.029562509995977825,0.10224719101123594,0.08125250385462612,0.038952503854626126,0.02099468715660982,neutral
Turkey,512,284427.2,9.15068493150685,0.014791921201629095,0.10928143712574849,0.08886041476373278,0.04656041476373279,0.020421022362015706,neutral
United Kingdom,831,3087226.619,14.25868725868726,0.02957771231888953,0.07013268345518547,0.050060069127288796,0.007760069127288798,0.020072614327896678,neutral
Denmark,134,571152.911,16.06635071090047,0.025142968500076506,0.06224188790560474,0.0423,0.0,0.019941887905604742,neutral
Canada,2392,2706449.260000001,16.24137931034483,0.01806660557900132,0.061571125265392775,0.0423,0.0,0.019271125265392777,neutral
Ireland,61,950962.524,14.54225352112676,0.017038247134962808,0.06876513317191284,0.050060069127288796,0.007760069127288798,0.01870506404462404,neutral
Sweden,782,944716.6649999999,16.61184210526316,0.019843486491264554,0.06019801980198019,0.0423,0.0,0.01789801980198019,neutral
Australia,1454,1236145.394,16.61921708185053,0.025647895428715237,0.060171306209850124,0.0423,0.0,0.017871306209850127,neutral
Finland,162,294262.1259999999,15.72614107883818,0.034403872008999234,0.06358839050131923,0.04585507581377215,0.0035550758137721547,0.017733314687547082,neutral
Singapore,541,485144.5329999999,16.70370370370371,0.03416074627805812,0.059866962305986676,0.0423,0.0,0.01756696230598668,neutral
Portugal,31,68267.01000000001,13.41107871720116,0.04545826747062748,0.07456521739130438,0.057820138254577595,0.015520138254577596,0.016745079136726786,neutral
Malaysia,1066,375402.3040000001,13.78571428571428,0.027094485280516546,0.07253886010362698,0.057820138254577595,0.015520138254577596,0.014718721849049383,neutral
Japan,3760,6379275.02,15.15873015873016,0.020784536721227615,0.06596858638743455,0.051429493090927994,0.009129493090928,0.014539093296506558,neutral
Kuwait,84,48314.30000000001,15.37790697674419,0.041445543037982535,0.0650283553875236,0.051429493090927994,0.009129493090928,0.013598862296595612,neutral
Germany,520,2285126.790999999,17.95876288659794,0.021139466777185062,0.05568312284730195,0.0423,0.0,0.013383122847301955,neutral
Taiwan,2190,2955815.53,16.62251655629139,0.02164274060769957,0.060159362549800796,0.050060069127288796,0.007760069127288798,0.010099293422512,neutral
Saudi Arabia,326,2056744.199999999,16.70093457943925,0.053952316821897474,0.059876888640179086,0.050060069127288796,0.007760069127288798,0.00981681951289029,neutral
Mexico,91,467380.1,13.04477611940298,0.02697321024151435,0.07665903890160186,0.06694963134550559,0.024649631345505598,0.00970940755609627,neutral
United States,4770,59872283.53399999,19.18045112781955,0.010418866376221626,0.052136417091336734,0.0446,0.002333679169992019,0.007536417091336733,neutral
Spain,178,786110.2600000001,15.30212765957447,0.02450013470120591,0.06535038932146829,0.057820138254577595,0.015520138254577596,0.007530251066890696,neutral
New Zealand,105,105415.79,20.66666666666667,0.025697823826961796,0.04838709677419354,0.0423,0.0,0.006087096774193543,neutral
Switzerland,211,2239278.243,21.11715481171548,0.02299821255397246,0.047354864275807415,0.0423,0.0,0.005054864275807418,neutral
Italy,343,641236.6100000001,14.76595744680851,0.033760620389406644,0.06772334293948126,0.06694963134550559,0.024649631345505598,0.0007737115939756706,underweight
Czech Republic,23,40116.565,20.8936877076412,0.0361149216040805,0.04786134520591508,0.050060069127288796,0.007760069127288798,-0.002198723921373713,underweight
Cayman Islands,62,64660.84999999998,20.96219931271478,0.010451579278651611,0.047704918032786876,0.050060069127288796,0.007760069127288798,-0.00235515109450192,underweight
Jordan,99,20175.565,11.75886524822695,0.046606451913490415,0.0850422195416164,0.08886041476373278,0.04656041476373279,-0.0038181952221163773,underweight
Croatia,46,27187.36,18.7025,0.025250469335750144,0.05346878759524128,0.057820138254577595,0.015520138254577596,-0.0043513506593363185,underweight
Vietnam,606,214608.751,13.61963190184049,0.01967072512341307,0.07342342342342342,0.08125250385462612,0.038952503854626126,-0.0078290804312027,underweight
Romania,198,58049.933,16.57894736842105,0.030825321314324344,0.060317460317460325,0.07075358680005893,0.028453586800058932,-0.010436126482598604,underweight
China,6128,15606611.731,26.46153846153846,0.022540027147677368,0.03779069767441861,0.051429493090927994,0.009129493090928,-0.013638795416509385,underweight
Israel,541,437862.8039999998,23.34302325581395,0.015331392707200594,0.04283935242839353,0.06299351767277012,0.020693517672770126,-0.020154165244376583,underweight
Egypt,162,38949.36600000001,8.95,0.0367525443161257,0.111731843575419,0.13937694320020103,0.09707694320020104,-0.027645099624782024,underweight
Pakistan,369,50774.02700000001,9.5,0.04089825177742943,0.10526315789473684,0.13937694320020103,0.09707694320020104,-0.03411378530546419,underweight
India,4520,4013915.843,28.03846153846154,0.01151727229424127,0.03566529492455418,0.07075358680005893,0.028453586800058932,-0.035088291875504746,underweight
Morocco,58,73226.18000000001,26.98850574712644,0.020401768875557894,0.037052810902896076,0.07470970047279439,0.032409700472794394,-0.037656889569898315,underweight
Nigeria,85,49894.482,11.92982456140351,0.020720834420126857,0.0838235294117647,0.1264434946547197,0.08414349465471971,-0.04261996524295501,underweight
Argentina,60,54273.007,29.21875,0.021573700532200105,0.034224598930481284,0.13937694320020103,0.09707694320020104,-0.10515234426971974,underweight
